Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate, Machine Amount
1,0.0000,375.7016,375.7016,3000,0.1000,0.1252,0.0500,1000
2,375.7016,722.3938,346.6922,3000,0.1050,0.1156,0.0500,1000
3,722.3938,1132.6046,410.2107,3000,0.1103,0.1367,0.0500,1000
4,1132.6046,1563.0739,430.4693,3000,0.1159,0.1435,0.0500,999
5,1563.0739,1966.8730,403.7991,3000,0.1217,0.1346,0.0500,999
6,1966.8730,2420.0890,453.2160,3000,0.1279,0.1511,0.0500,998
7,2420.0890,2882.8862,462.7972,3000,0.1341,0.1543,0.0500,999
8,2882.8862,3376.3388,493.4526,3000,0.1409,0.1645,0.0500,999
9,3376.3388,3881.7831,505.4443,3000,0.1479,0.1685,0.0500,999
10,3881.7831,4433.7357,551.9526,3000,0.1554,0.1840,0.0500,998
11,4433.7357,5013.2533,579.5176,3000,0.1631,0.1932,0.0500,999
12,5013.2533,5616.9858,603.7325,3000,0.1714,0.2012,0.0500,998
13,5616.9858,6260.2314,643.2456,3000,0.1798,0.2144,0.0500,999
14,6260.2314,6939.8215,679.5901,3000,0.1888,0.2265,0.0500,999
15,6939.8215,7669.5994,729.7780,3000,0.1982,0.2433,0.0500,999
16,7669.5994,8440.7488,771.1493,3000,0.2081,0.2570,0.0500,999
17,8440.7488,9219.9291,779.1803,3000,0.2185,0.2597,0.0500,999
18,9219.9291,10067.8124,847.8832,3000,0.2294,0.2826,0.0500,999
19,10067.8124,10896.0108,828.1985,3000,0.2409,0.2761,0.0500,999
20,10896.0108,11756.4035,860.3927,3000,0.2532,0.2868,0.0500,998
21,11756.4035,12742.4986,986.0951,3000,0.2659,0.3287,0.0500,998
22,12742.4986,13740.5108,998.0123,3000,0.2792,0.3327,0.0500,998
23,13740.5108,14812.5979,1072.0870,3000,0.2928,0.3574,0.0500,999
24,14812.5979,15898.8878,1086.2900,3000,0.3075,0.3621,0.0500,999
25,15898.8878,17094.9399,1196.0520,3000,0.3228,0.3987,0.0500,999
26,17094.9399,18283.1200,1188.1802,3000,0.3390,0.3961,0.0500,999
27,18283.1200,19537.3319,1254.2118,3000,0.3556,0.4181,0.0500,1000
28,19537.3319,20910.0956,1372.7637,3000,0.3733,0.4576,0.0500,1000
29,20910.0956,22306.9467,1396.8512,3000,0.3916,0.4656,0.0500,1001
30,22306.9467,23805.5364,1498.5897,3000,0.4112,0.4995,0.0500,1001
31,23805.5364,25257.3660,1451.8296,3000,0.4318,0.4839,0.0500,1001
32,25257.3660,26681.0649,1423.6989,3000,0.4534,0.4746,0.0500,1001
33,26681.0649,28391.8064,1710.7415,3000,0.4755,0.5702,0.0500,1002
34,28391.8064,30125.6804,1733.8740,3000,0.4993,0.5780,0.0500,1002
35,30125.6804,32041.6165,1915.9361,3000,0.5243,0.6386,0.0500,1002
36,32041.6165,34030.7091,1989.0926,3000,0.5505,0.6630,0.0500,1002
37,34030.7091,36169.8690,2139.1599,3000,0.5780,0.7131,0.0500,1002
38,36169.8690,38295.9519,2126.0829,3000,0.6075,0.7087,0.0500,1001
39,38295.9519,40496.6168,2200.6649,3000,0.6379,0.7336,0.0500,1001
40,40496.6168,42795.4897,2298.8729,3000,0.6705,0.7663,0.0500,1000
41,42795.4897,45401.4308,2605.9412,3000,0.7040,0.8686,0.0500,1000
42,45401.4308,48030.0503,2628.6194,3000,0.7392,0.8762,0.0500,1000
43,48030.0503,50878.0166,2847.9663,3000,0.7762,0.9493,0.0500,1000
44,50878.0166,53748.5136,2870.4970,3000,0.8150,0.9568,0.0500,1000
45,53748.5136,56901.6658,3153.1522,3000,0.8557,1.0511,0.0500,1000
46,56901.6658,59899.2562,2997.5904,3000,0.8994,0.9992,0.0500,999
47,59899.2562,63114.1083,3214.8521,3000,0.9434,1.0716,0.0500,1000
48,63114.1083,66570.7530,3456.6447,3000,0.9916,1.1522,0.0500,999
49,66570.7530,70195.3568,3624.6038,3000,1.0412,1.2082,0.0500,999
50,70195.3568,74218.5644,4023.2076,3000,1.0943,1.3411,0.0500,998
51,74218.5644,78264.0170,4045.4526,3000,1.1479,1.3485,0.0500,999
52,78264.0170,82652.4247,4388.4077,3000,1.2065,1.4628,0.0500,998
53,82652.4247,87079.7752,4427.3506,3000,1.2668,1.4758,0.0500,998
54,87079.7752,91852.0454,4772.2701,3000,1.3315,1.5908,0.0500,997
55,91852.0454,96577.2128,4725.1675,3000,1.3967,1.5751,0.0500,998
56,96577.2128,102061.0251,5483.8123,3000,1.4665,1.8279,0.0500,998
57,102061.0251,107648.2323,5587.2072,3000,1.5398,1.8624,0.0500,998
