Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate
14,415.3168,459.2220,43.9052,2000,0.0189,0.0220,0.0500
15,459.2220,505.9702,46.7482,2000,0.0198,0.0234,0.0500
16,505.9702,555.5728,49.6026,2000,0.0208,0.0248,0.0500
17,555.5728,607.1902,51.6174,2000,0.0218,0.0258,0.0500
18,607.1902,660.8948,53.7046,2000,0.0229,0.0269,0.0500
19,660.8948,717.5686,56.6738,2000,0.0241,0.0283,0.0500
20,717.5686,777.5196,59.9511,2000,0.0253,0.0300,0.0500
21,777.5196,842.8076,65.2880,2000,0.0265,0.0326,0.0500
22,842.8076,913.5064,70.6988,2000,0.0279,0.0353,0.0500
23,913.5064,982.8860,69.3796,2000,0.0293,0.0347,0.0500
24,982.8860,1059.7399,76.8538,2000,0.0307,0.0384,0.0500
25,1059.7399,1136.9171,77.1772,2000,0.0323,0.0386,0.0500
26,1136.9171,1218.4961,81.5790,2000,0.0339,0.0408,0.0500
27,1218.4961,1306.7318,88.2357,2000,0.0356,0.0441,0.0500
28,1306.7318,1394.1252,87.3934,2000,0.0373,0.0437,0.0500
29,1394.1252,1482.7584,88.6332,2000,0.0392,0.0443,0.0500
30,1482.7584,1575.1006,92.3421,2000,0.0412,0.0462,0.0500
31,1575.1006,1681.2201,106.1195,2000,0.0432,0.0531,0.0500
32,1681.2201,1789.0467,107.8266,2000,0.0454,0.0539,0.0500
33,1789.0467,1905.2296,116.1829,2000,0.0476,0.0581,0.0500
34,1905.2296,2028.6522,123.4226,2000,0.0500,0.0617,0.0500
35,2028.6522,2156.3867,127.7344,2000,0.0525,0.0639,0.0500
36,2156.3867,2282.0898,125.7031,2000,0.0551,0.0629,0.0500
37,2282.0898,2425.2911,143.2014,2000,0.0579,0.0716,0.0500
38,2425.2911,2567.9014,142.6102,2000,0.0608,0.0713,0.0500
39,2567.9014,2719.6563,151.7549,2000,0.0638,0.0759,0.0500
40,2719.6563,2878.9940,159.3377,2000,0.0670,0.0797,0.0500
41,2878.9940,3043.4485,164.4545,2000,0.0704,0.0822,0.0500
42,3043.4485,3227.9569,184.5084,2000,0.0739,0.0923,0.0500
43,3227.9569,3412.9140,184.9571,2000,0.0776,0.0925,0.0500
44,3412.9140,3605.7819,192.8680,2000,0.0815,0.0964,0.0500
45,3605.7819,3816.5497,210.7678,2000,0.0856,0.1054,0.0500
46,3816.5497,4020.6624,204.1126,2000,0.0898,0.1021,0.0500
47,4020.6624,4220.8090,200.1467,2000,0.0943,0.1001,0.0500
48,4220.8090,4428.8926,208.0836,2000,0.0990,0.1040,0.0500
49,4428.8926,4684.4826,255.5900,2000,0.1040,0.1278,0.0500
50,4684.4826,4941.2548,256.7722,2000,0.1092,0.1284,0.0500
51,4941.2548,5199.6436,258.3888,2000,0.1147,0.1292,0.0500
52,5199.6436,5482.7453,283.1017,2000,0.1204,0.1416,0.0500
53,5482.7453,5795.3313,312.5859,2000,0.1264,0.1563,0.0500
54,5795.3313,6119.3888,324.0576,2000,0.1327,0.1620,0.0500
55,6119.3888,6463.5542,344.1653,2000,0.1394,0.1721,0.0500
56,6463.5542,6815.9086,352.3544,2000,0.1463,0.1762,0.0500
57,6815.9086,7171.7640,355.8554,2000,0.1536,0.1779,0.0500
58,7171.7640,7544.3995,372.6355,2000,0.1613,0.1863,0.0500
59,7544.3995,7935.3528,390.9533,2000,0.1694,0.1955,0.0500
60,7935.3528,8337.3473,401.9945,2000,0.1778,0.2010,0.0500
61,8337.3473,8816.2965,478.9492,2000,0.1867,0.2395,0.0500
62,8816.2965,9262.9162,446.6197,2000,0.1960,0.2233,0.0500
63,9262.9162,9760.0287,497.1125,2000,0.2058,0.2486,0.0500
64,9760.0287,10279.5044,519.4757,2000,0.2161,0.2597,0.0500
65,10279.5044,10836.6545,557.1501,2000,0.2269,0.2786,0.0500
66,10836.6545,11392.7703,556.1158,2000,0.2383,0.2781,0.0500
67,11392.7703,12008.7772,616.0069,2000,0.2502,0.3080,0.0500
68,12008.7772,12602.6037,593.8266,2000,0.2627,0.2969,0.0500
69,12602.6037,13238.4351,635.8314,2000,0.2758,0.3179,0.0500
70,13238.4351,13897.0758,658.6407,2000,0.2896,0.3293,0.0500
71,13897.0758,14559.0424,661.9666,2000,0.3041,0.3310,0.0500
72,14559.0424,15346.2171,787.1747,2000,0.3193,0.3936,0.0500
73,15346.2171,16124.7275,778.5105,2000,0.3353,0.3893,0.0500
74,16124.7275,16984.7628,860.0353,2000,0.3520,0.4300,0.0500
75,16984.7628,17880.2470,895.4842,2000,0.3696,0.4477,0.0500
76,17880.2470,18798.3014,918.0544,2000,0.3881,0.4590,0.0500
77,18798.3014,19775.6609,977.3595,2000,0.4075,0.4887,0.0500
78,19775.6609,20822.4905,1046.8296,2000,0.4279,0.5234,0.0500
79,20822.4905,21869.0043,1046.5139,2000,0.4493,0.5233,0.0500
80,21869.0043,23027.7433,1158.7390,2000,0.4717,0.5794,0.0500
81,23027.7433,24191.4038,1163.6605,2000,0.4953,0.5818,0.0500
82,24191.4038,25319.5536,1128.1499,2000,0.5201,0.5641,0.0500
83,25319.5536,26673.8703,1354.3167,2000,0.5461,0.6772,0.0500
84,26673.8703,28102.5234,1428.6530,2000,0.5734,0.7143,0.0500
85,28102.5234,29573.9386,1471.4152,2000,0.6021,0.7357,0.0500
86,29573.9386,31104.5989,1530.6603,2000,0.6322,0.7653,0.0500
87,31104.5989,32673.7280,1569.1291,2000,0.6638,0.7846,0.0500
88,32673.7280,34312.5573,1638.8293,2000,0.6970,0.8194,0.0500
89,34312.5573,35996.0146,1683.4573,2000,0.7318,0.8417,0.0500
90,35996.0146,37893.0682,1897.0536,2000,0.7684,0.9485,0.0500
91,37893.0682,39861.7942,1968.7260,2000,0.8067,0.9844,0.0500
92,39861.7942,41991.0785,2129.2843,2000,0.8472,1.0646,0.0500
93,41991.0785,44178.9959,2187.9175,2000,0.8895,1.0940,0.0500
94,44178.9959,46285.4804,2106.4845,2000,0.9340,1.0532,0.0500
95,46285.4804,48647.2193,2361.7389,2000,0.9807,1.1809,0.0500
96,48647.2193,51138.1080,2490.8887,2000,1.0297,1.2454,0.0500
97,51138.1080,53667.0916,2528.9836,2000,1.0811,1.2645,0.0500
98,53667.0916,56503.3581,2836.2665,2000,1.1352,1.4181,0.0500
99,56503.3581,59341.6144,2838.2563,2000,1.1918,1.4191,0.0500
100,59341.6144,62331.7629,2990.1485,2000,1.2515,1.4951,0.0500
101,62331.7629,65486.4716,3154.7087,2000,1.3141,1.5774,0.0500
102,65486.4716,68788.7179,3302.2463,2000,1.3799,1.6511,0.0500
103,68788.7179,72159.8147,3371.0967,2000,1.4488,1.6855,0.0500
104,72159.8147,75641.7076,3481.8930,2000,1.5214,1.7409,0.0500
105,75641.7076,79548.5787,3906.8711,2000,1.5974,1.9534,0.0500
106,79548.5787,83789.6299,4241.0512,2000,1.6775,2.1205,0.0500
107,83789.6299,87783.2873,3993.6574,2000,1.7614,1.9968,0.0500
108,87783.2873,91842.7106,4059.4233,2000,1.8496,2.0297,0.0500
109,91842.7106,96028.8028,4186.0923,2000,1.9419,2.0930,0.0500
110,96028.8028,100641.1986,4612.3958,2000,2.0392,2.3062,0.0500
111,100641.1986,105503.0393,4861.8407,2000,2.1412,2.4309,0.0500
112,105503.0393,110577.3023,5074.2630,2000,2.2482,2.5371,0.0500
113,110577.3023,116298.0267,5720.7244,2000,2.3606,2.8604,0.0500
114,116298.0267,122171.4211,5873.3944,2000,2.4789,2.9367,0.0500
115,122171.4211,128453.5512,6282.1301,2000,2.6029,3.1411,0.0500
116,128453.5512,135057.3163,6603.7651,2000,2.7330,3.3019,0.0500
117,135057.3163,141950.1836,6892.8674,2000,2.8694,3.4464,0.0500
118,141950.1836,148804.9240,6854.7404,2000,3.0131,3.4274,0.0500
119,148804.9240,156678.9688,7874.0448,2000,3.1635,3.9370,0.0500
120,156678.9688,164501.2543,7822.2855,2000,3.3216,3.9111,0.0500
121,164501.2543,172854.9755,8353.7212,2000,3.4877,4.1769,0.0500
122,172854.9755,181477.4087,8622.4332,2000,3.6621,4.3112,0.0500
123,181477.4087,190751.1098,9273.7011,2000,3.8452,4.6369,0.0500
124,190751.1098,200886.3711,10135.2613,2000,4.0379,5.0676,0.0500
125,200886.3711,211047.2016,10160.8305,2000,4.2398,5.0804,0.0500
126,211047.2016,221486.8036,10439.6020,2000,4.4518,5.2198,0.0500
127,221486.8036,233035.9969,11549.1933,2000,4.6744,5.7746,0.0500
128,233035.9969,243729.1009,10693.1040,2000,4.9081,5.3466,0.0500
129,243729.1009,256223.7801,12494.6792,2000,5.1530,6.2473,0.0500
130,256223.7801,269111.6108,12887.8307,2000,5.4111,6.4439,0.0500
131,269111.6108,282443.5443,13331.9336,2000,5.6817,6.6660,0.0500
132,282443.5443,296999.9834,14556.4391,2000,5.9664,7.2782,0.0500
133,296999.9834,311887.2570,14887.2736,2000,6.2647,7.4436,0.0500
134,311887.2570,327493.7663,15606.5093,2000,6.5786,7.8033,0.0500
135,327493.7663,344193.6191,16699.8528,2000,6.9075,8.3499,0.0500
136,344193.6191,362108.8355,17915.2164,2000,7.2529,8.9576,0.0500
137,362108.8355,379204.1765,17095.3410,2000,7.6148,8.5477,0.0500
138,379204.1765,397821.1002,18616.9237,2000,7.9955,9.3085,0.0500
139,397821.1002,419523.0322,21701.9320,2000,8.3945,10.8510,-0.0500
140,419523.0322,437520.5105,17997.4782,2000,7.9755,8.9987,0.0500
141,437520.5105,455309.4651,17788.9546,2000,8.3743,8.8945,0.0500
142,455309.4651,475334.5738,20025.1088,2000,8.7939,10.0126,-0.0013
143,475334.5738,496187.1165,20852.5426,2000,8.7820,10.4263,-0.0409
144,496187.1165,516492.7325,20305.6160,2000,8.4238,10.1528,-0.0151
145,516492.7325,537010.4390,20517.7065,2000,8.2962,10.2589,-0.0252
146,537010.4390,556566.7697,19556.3306,2000,8.0869,9.7782,0.0227
147,556566.7697,577967.5155,21400.7458,2000,8.2695,10.7004,-0.0500
148,577967.5155,595066.7213,17099.2058,2000,7.8560,8.5496,0.0500
149,595066.7213,614851.5551,19784.8338,2000,8.2480,9.8924,0.0109
150,614851.5551,634139.5354,19287.9803,2000,8.3377,9.6440,0.0369
151,634139.5354,654591.9707,20452.4352,2000,8.6455,10.2262,-0.0221
152,654591.9707,675309.8943,20717.9236,2000,8.4551,10.3590,-0.0347
153,675309.8943,695337.1577,20027.2633,2000,8.1621,10.0136,-0.0014
154,695337.1577,713975.2256,18638.0679,2000,8.1510,9.3190,0.0500
155,713975.2256,734768.5347,20793.3092,2000,8.5585,10.3967,-0.0382
156,734768.5347,755108.6355,20340.1008,2000,8.2320,10.1701,-0.0167
157,755108.6355,774648.0074,19539.3718,2000,8.0935,9.7697,0.0236
158,774648.0074,795120.6854,20472.6781,2000,8.2843,10.2363,-0.0231
159,795120.6854,814475.7985,19355.1131,2000,8.0923,9.6776,0.0333
160,814475.7985,834306.7949,19830.9964,2000,8.3627,9.9155,0.0085
161,834306.7949,856215.0183,21908.2234,2000,8.4340,10.9541,-0.0500
162,856215.0183,875693.9309,19478.9126,2000,8.0131,9.7395,0.0268
163,875693.9309,894665.4339,18971.5030,2000,8.2266,9.4858,0.0500
164,894665.4339,914208.1187,19542.6848,2000,8.6388,9.7713,0.0234
165,914208.1187,934899.8926,20691.7739,2000,8.8410,10.3459,-0.0334
166,934899.8926,955438.3492,20538.4565,2000,8.5454,10.2692,-0.0262
167,955438.3492,976663.3488,21224.9996,2000,8.3205,10.6125,-0.0500
168,976663.3488,993751.8108,17088.4620,2000,7.9045,8.5442,0.0500
169,993751.8108,1013886.5592,20134.7484,2000,8.2997,10.0674,-0.0067
